nama,berat,url,negara,noc,cabor,negl,kotal,tinggi,tgll,status
 SHAHZAIB,54kg,https://id.asiangames2018.id/athletes/athlete/SHAHZAIB-3005354/,Pakistan,PAK,Taekwondo,Pakistan,QUETTA,167CM,09/02/1998,
ADNAN NABIL ABDULQAWI SHAIF,75kg,https://id.asiangames2018.id/athletes/athlete/SHAIF-Adnan-Nabil-Abdulqawi-3006760/,Yemen,YEM,Karate,Yemen,TAIZ,174CM,02/17/1998,
AREEBA SHAIKH,97kg,https://id.asiangames2018.id/athletes/athlete/SHAIKH-Areeba-3012970/,Pakistan,PAK,Renang  ,Pakistan,KARACHI,156CM,10/23/2000,
MD ASHRAFUL SHAIKH,78kg,https://id.asiangames2018.id/athletes/athlete/SHAIKH-Md-Ashraful-3010169/,Bangladesh,BAN,Kabaddi,Bangladesh,KHULNA,174CM,07/12/1992,
MONA SHAITO,50kg,https://id.asiangames2018.id/athletes/athlete/SHAITO-Mona-3008471/,Lebanon,LBN,Anggar,UnitedStates,TEXAS,165CM,05/12/1994,
Murat Shakenov,70kg,https://id.asiangames2018.id/athletes/athlete/SHAKENOV-Murat-3029568/,Kazakhstan,KAZ,Polo Air,NA,,183CM,09/23/1990,
ANUAR SHAKIROV,-,https://id.asiangames2018.id/athletes/athlete/SHAKIROV-Anuar-3030367/,Kazakhstan,KAZ,Basket,Kazakhstan,,-,01/12/2000,
ANUAR SHAKIROV,-,https://id.asiangames2018.id/athletes/athlete/SHAKIROV-Anuar-3030367/,Kazakhstan,KAZ,Basket,Kazakhstan,,-,01/12/2000,
RAJENDRA SHAKYA,66kg,https://id.asiangames2018.id/athletes/athlete/SHAKYA-Rajendra-3030380/,Nepal,NEP,Squash,Nepal,,161CM,01/28/1976,
TISA SHAKYA,58kg,https://id.asiangames2018.id/athletes/athlete/SHAKYA-Tisa-3028744/,Nepal,NEP,Renang  ,Nepal,,161CM,02/04/2003,
Abdulhadi Shalha,70kg,https://id.asiangames2018.id/athletes/athlete/SHALHA-Abdulhadi-3013536/,Syria,SYR,Sepak Bola,NA,,174CM,01/19/1999,
ARTYOM SHALNOV,90kg,https://id.asiangames2018.id/athletes/athlete/SHALNOV-Artyom-3001190/,Uzbekistan,UZB,Polo Air,Uzbekistan,,192CM,12/26/1995,
ANDREI SHALOHIN,70kg,https://id.asiangames2018.id/athletes/athlete/SHALOHIN-Andrei-3029837/,Kyrgyzstan,KGZ,Berkuda,Kyrgyzstan,,180CM,07/31/1971,
HUI YU LYDIA SHAM,51kg,https://id.asiangames2018.id/athletes/athlete/SHAM-Hui-Yu-Lydia-3026312/,"Hong Kong, China",HKG,Wushu,HongKongChina,,162CM,08/03/2000,
MOHANAD SHAM,77kg,https://id.asiangames2018.id/athletes/athlete/SHAM-Mohanad-3005676/,Syria,SYR,Ju-Jitsu,SyriaArabRepublic,DAMASCUS,185CM,01/27/1992,
ALIREZA SHAMELI,68kg,https://id.asiangames2018.id/athletes/athlete/SHAMELI-Alireza-3023356/,IR Iran,IRI,Squash,IslamicRepublicofIran,,170CM,05/23/1999,
AMINATH SHAHA SHAMIN,49kg,https://id.asiangames2018.id/athletes/athlete/SHAMIN-Aminath-Shaha-3023128/,Maldives,MDV,Bola Voli,Maldives,,154CM,03/13/2002,
KHALED SHAMIYEH,80kg,https://id.asiangames2018.id/athletes/athlete/SHAMIYEH-Khaled-3002974/,Qatar,QAT,Bola Voli,Qatar,DOHA,170CM,04/04/1995,
SARJUBALA DEVI SHAMJETSABAM,51kg,https://id.asiangames2018.id/athletes/athlete/SHAMJETSABAM-Sarjubala-Devi-3001040/,India,IND,Tinju,India,LEIRAK MACHIN,153CM,03/01/1993,
ASAN SHAMSHEDIN UULU,85kg,https://id.asiangames2018.id/athletes/athlete/SHAMSHEDIN-UULU-Asan-3006912/,Kyrgyzstan,KGZ,Pencak Silat,Kyrgyzstan,Leilek,185CM,04/07/1990,
MUHAMMAD IRFAN SHAMSHUDDIN,66kg,https://id.asiangames2018.id/athletes/athlete/SHAMSHUDDIN-Muhammad-Irfan-3009218/,Malaysia,MAS,Atletik,Malaysia,WP KUALA LUMPUR,190CM,08/16/1995,
NURAISYAH SHAMSHUL BAHRIN,45kg,https://id.asiangames2018.id/athletes/athlete/SHAMSHUL-BAHRIN-Nuraisyah-3004578/,Malaysia,MAS,Pencak Silat,Malaysia,MENTAKAB,153CM,12/24/1997,
